N,S_up,S_down,S_diff
1,1,1,0
2,1.5,1.5,0
4,2.08333,2.08333,0
8,2.71786,2.71786,0
16,3.38073,3.38073,1.31359e-16
32,4.0585,4.0585,-1.09422e-16
64,4.74389,4.74389,-9.36129e-17
128,5.43315,5.43315,0
256,6.12434,6.12434,2.17536e-16
512,6.81652,6.81652,-6.5149e-17
1024,7.50918,7.50918,2.36558e-16
2048,8.20208,8.20208,1.08287e-16
4096,8.8951,8.8951,-1.49775e-15
8192,9.58819,9.58819,-2.31581e-15
16384,10.2813,10.2813,1.3822e-15
32768,10.9744,10.9744,-8.90247e-16
65536,11.6676,11.6676,0
131072,12.3607,12.3607,-6.17952e-15
262144,13.0539,13.0539,6.87199e-15
524288,13.747,13.747,2.71357e-15
1048576,14.4402,14.4402,-2.65712e-14
2097152,15.1333,15.1333,-2.54129e-14
4194304,15.8265,15.8265,-3.00241e-14
8388608,16.5196,16.5196,-4.53778e-14
16777216,17.2127,17.2127,-7.97737e-14
33554432,17.9059,17.9059,-1.11705e-13
67108864,18.599,18.599,-4.55573e-14
134217728,19.2922,19.2922,3.43445e-14
268435456,19.9853,19.9853,7.43062e-14
536870912,20.6785,20.6785,2.42248e-14
1073741824,21.3716,21.3716,6.59122e-14
2147483648,0,0,-nan
4294967296,0,0,-nan
8589934592,0,0,-nan
